scenario_name,mean,std,median,p5,p95,cvar_5,downside_prob_vs_deterministic,n
deterministic,1059.0632912992207,0.0,1059.0632912992207,1059.0632912992207,1059.0632912992207,1059.0632912992207,0.0,1
dist_30,728.5934739755536,307.5032554188933,765.1396430692262,170.55427390025733,1059.0632912992207,61.67011528504811,0.689,1000
dist_20,603.1853551801963,330.3607209271908,595.24607568858,73.28742493907669,1059.0632912992207,-6.250361384589594,0.808,1000
dist_10,274.0719798585054,305.8526343277233,225.21403665942836,-162.29446515485196,856.4493579647591,-185.1965666307141,0.97,1000
noise_025,930.7746621285002,42.125328028528756,931.2850816220966,863.4059070513964,997.0763321405041,845.6575129716744,0.996,1000
n025_d30,634.053528433202,282.0933521412759,661.6123458602947,128.1052769432026,975.1507928499212,32.54156696655859,1.0,1000
n025_d20,500.7164915104873,301.0178232159027,497.1035199084879,9.636238991690586,952.9209398983406,-47.633345213259474,0.999,1000
n025_d10,220.53952288307326,292.4806738189431,157.83408218122437,-165.43082058592648,807.3913139256571,-188.99423421771644,1.0,1000
noise_050,933.0307969585726,59.331998443884906,932.0462132921272,837.6790124403366,1032.3170207154556,820.6167335972476,0.976,1000
n050_d30,618.9699443258988,291.67658791214444,648.8126522587851,94.9085567796394,996.3333209676496,18.83266159485622,0.992,1000
n050_d20,504.85425870220456,313.9228544887484,481.3819399194614,-9.084802066360663,979.63210795328,-92.98338210283951,0.996,1000
n050_d10,203.51179018929506,281.6520307291837,155.16385376188958,-178.1736340203931,751.9624966132872,-192.38093314351798,1.0,1000
noise_100,951.2205470546187,98.0980866316022,938.3054507323527,817.0484301536646,1138.4409807223224,791.3795392501341,0.863,1000
n100_d30,634.6979215572504,301.93447751610097,650.4760046836632,105.1893674792748,1057.6059490592381,12.149906875901365,0.951,1000
n100_d20,490.86625759849744,322.6571315176,473.9714922612397,-16.602996401812092,1011.3791809442434,-85.69842587943543,0.971,1000
n100_d10,203.95535820731232,292.3480804688222,150.6594582353835,-177.39680789249158,784.0290853867123,-190.98827469643138,0.997,1000
