,LLN,MLN,HLN,LMN,MMN,HMN,LHN,MHN,HHN,LLD,MLD,HLD,LMD,MMD,HMD,LHD,MHD,HHD
LLN,0.448,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,0.0,0.0,0.0,0.0,0.0,0.392,0.0,0.0
MLN,0.099,0.362,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.086,0.0,0.003,0.0,0.0,0.393,0.0,0.0
HLN,0.035,0.351,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.134,0.001,0.003,0.0,0.0,0.377,0.0,0.0
LMN,0.0,0.0,0.0,0.362,0.099,0.0,0.0,0.0,0.0,0.112,0.009,0.0,0.031,0.002,0.0,0.385,0.0,0.0
MMN,0.0,0.0,0.0,0.054,0.303,0.092,0.0,0.0,0.0,0.037,0.099,0.006,0.002,0.0,0.0,0.407,0.0,0.0
HMN,0.0,0.0,0.0,0.001,0.139,0.301,0.0,0.0,0.0,0.01,0.082,0.061,0.001,0.0,0.0,0.405,0.0,0.0
LHN,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.067,0.0,0.0,0.0,0.0,0.133,0.008,0.0,0.392,0.0,0.0
MHN,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.263,0.121,0.002,0.0,0.0,0.04,0.112,0.011,0.408,0.0,0.0
HHN,0.0,0.0,0.0,0.0,0.003,0.005,0.004,0.124,0.305,0.0,0.001,0.0,0.011,0.088,0.065,0.394,0.0,0.0
LLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578,0.031,0.0,0.001,0.0,0.0,0.39,0.0,0.0
MLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.419,0.004,0.001,0.0,0.0,0.415,0.0,0.0
HLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.453,0.116,0.002,0.0,0.0,0.387,0.0,0.0
LMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.004,0.0,0.377,0.101,0.0,0.408,0.0,0.0
MMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.118,0.008,0.046,0.288,0.096,0.416,0.0,0.0
HMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.101,0.051,0.007,0.128,0.311,0.395,0.0,0.0
LHD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.013,0.0,0.739,0.084,0.0
MHD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.035,0.111,0.007,0.433,0.297,0.116
HHD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.009,0.086,0.068,0.412,0.134,0.29
